"SID";"VMName";"CanStart";"CanStop"
"S-1-5-21-436678433-3721039088-2525121867-1122";"A-VM01";"1";"1"
"S-1-5-21-436678433-3721039088-2525121867-1122";"A-VM02";"1";"0"
"S-1-5-21-436678433-3721039088-2525121867-1123";"B-VM01";"1";"1"
"S-1-5-21-436678433-3721039088-2525121867-1123";"B-VM02";"1";"0"
"S-1-5-21-436678433-3721039088-2525121867-1123";"B-VM03";"0";"0"
"S-1-5-21-436678433-3721039088-2525121867-1124";"C-VM01";"0";"0"
"S-1-5-21-436678433-3721039088-2525121867-1109";"A-VM01";"1";"1"
"S-1-5-21-436678433-3721039088-2525121867-1109";"A-VM02";"1";"1"
"S-1-5-21-436678433-3721039088-2525121867-1109";"B-VM01";"1";"1"
"S-1-5-21-436678433-3721039088-2525121867-1109";"B-VM02";"1";"1"
"S-1-5-21-436678433-3721039088-2525121867-1109";"B-VM03";"1";"1"
"S-1-5-21-436678433-3721039088-2525121867-1109";"C-VM01";"1";"1"
