"VM","PowerState","Template","Disk","CapacityMB","Raw","DiskMode","Path","Host","vCenter"
"AnsibleSim","poweredOn","False","Hard disk 1","16384","False","persistent","[FlashStack-Prod] NVM/NVM.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-app","poweredOn","False","Hard disk 1","46080","False","persistent","[FlashStack-Prod] intersight-app/intersight-app-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-app","poweredOn","False","Hard disk 2","25600","False","persistent","[FlashStack-Prod] intersight-app/intersight-app_1-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-app","poweredOn","False","Hard disk 3","133120","False","persistent","[FlashStack-Prod] intersight-app/intersight-app_2-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-app","poweredOn","False","Hard disk 4","102400","False","persistent","[FlashStack-Prod] intersight-app/intersight-app_3-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-app","poweredOn","False","Hard disk 5","194560","False","persistent","[FlashStack-Prod] intersight-app/intersight-app_4-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-app","poweredOn","False","Hard disk 6","61440","False","persistent","[FlashStack-Prod] intersight-app/intersight-app_5-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-app","poweredOn","False","Hard disk 7","368640","False","persistent","[FlashStack-Prod] intersight-app/intersight-app_6-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-app","poweredOn","False","Hard disk 8","1218560","False","persistent","[FlashStack-Prod] intersight-app/intersight-app_7-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"VBR-anjali","poweredOn","False","Hard disk 1","0","False","persistent","[FlashStack-Misc] VBR-anjali/VBR-anjali.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"dx-test-01","poweredOn","False","Hard disk 1","61440","False","persistent","[FlashStack-Misc] dx-test-01/dx-test-01.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"dx-test-02","poweredOn","False","Hard disk 1","61440","False","persistent","[FlashStack-Misc] dx-test-02/dx-test-02.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"AnsibleSim","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Prod] AnsibleSim/AnsibleSim.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"Test-JmpWin","poweredOn","False","Hard disk 1","92160","False","persistent","[FlashStack-Misc] Test-JmpWin/Test-JmpWin.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fslab-ad","poweredOn","False","Hard disk 1","92160","False","persistent","[FlashStack_ISO_ContLib] fslab-ad/fslab-ad-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"FS-WinJmp1","poweredOn","False","Hard disk 1","92160","False","persistent","[FlashStack-Misc] FS-WinJmp1/FS-WinJmp1-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"postgresdb-test","poweredOn","False","Hard disk 1","153600","False","persistent","[FlashStack-Prod] postgresdb-test_1/postgresdb-test-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"postgresdb-test","poweredOn","False","Hard disk 2","512000","False","persistent","[FlashStack-Prod] postgresdb-test_1/postgresdb-test_1-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-vidm","poweredOn","False","Hard disk 1","61440","False","persistent","[FlashStack-Prod] fs-vidm/fs-vidm-000003.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-vidm","poweredOn","False","Hard disk 2","20480","False","persistent","[FlashStack-Prod] fs-vidm/fs-vidm_1-000003.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-vidm","poweredOn","False","Hard disk 3","20480","False","persistent","[FlashStack-Prod] fs-vidm/fs-vidm_2-000003.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-vra","poweredOn","False","Hard disk 1","51200","False","persistent","[FlashStack-Prod] fs-vra/fs-vra-000003.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-vra","poweredOn","False","Hard disk 2","147456","False","persistent","[FlashStack-Prod] fs-vra/fs-vra_1-000003.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-vra","poweredOn","False","Hard disk 3","22528","False","persistent","[FlashStack-Prod] fs-vra/fs-vra_2-000003.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-vra","poweredOn","False","Hard disk 4","30720","False","persistent","[FlashStack-Prod] fs-vra/fs-vra_3-000003.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-ansible","poweredOn","False","Hard disk 1","61440","False","persistent","[FlashStack-Misc] intersight-ansible/intersight-ansible.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-assist","poweredOn","False","Hard disk 1","25600","False","persistent","[FlashStack-Misc] intersight-assist/intersight-assist.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-assist","poweredOn","False","Hard disk 2","25600","False","persistent","[FlashStack-Misc] intersight-assist/intersight-assist_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
