"VM","PowerState","DNSName","IPAddress","HWVersion","GuestOSVMTools","GuestOSConfigFile","GuestFamily","CPUSockets","CPUCores","IsUseMB","ProvisionedMB","UnsharedMB","Memory","VMToolsStatus","CBT","Snapshot","Template","Path","ID","vCenter"
"AnsibleSim","poweredOn","ansibleSim","10.21.210.180","vmx-19","CentOS 9 (64-bit)","Red Hat Enterprise Linux 9 (64-bit)","linuxGuest","1","1","19411736820","19411737317","17179869184","2048","toolsOk","False","False","False","[FlashStack-Prod] NVM/NVM.vmx","vm-1362","flashstack-vcenter.puretec.purestorage.com"
"intersight-app","poweredOn","intersight-app.puretec.purestorage.com","10.21.210.175","vmx-10","CentOS 7 (64-bit)","CentOS 4/5/6/7 (64-bit)","linuxGuest","24","24","2392799977560","4647270890134","2255244754944","65536","toolsOk","False","True","False","[FlashStack-Prod] intersight-app/intersight-app.vmx","vm-1370","flashstack-vcenter.puretec.purestorage.com"
"VBR-anjali","poweredOn","win2022std","10.21.210.100","vmx-19","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2016 (64-bit)","windowsGuest","96","192","459805823689","459805824218","322122547200","131072","toolsOk","False","False","False","[FlashStack-Misc] VBR-anjali/VBR-anjali.vmx","vm-1374","flashstack-vcenter.puretec.purestorage.com"
"dx-test-01","poweredOn","dx-test-01","10.21.210.231","vmx-19","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","linuxGuest","8","8","81696117723","81696118228","64424509440","16384","toolsOk","False","False","False","[FlashStack-Misc] dx-test-01/dx-test-01.vmx","vm-1535","flashstack-vcenter.puretec.purestorage.com"
"dx-test-02","poweredOn","dx-test-02","10.21.210.232","vmx-19","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","linuxGuest","8","8","81695860211","81695860739","64424509440","16384","toolsOk","False","False","False","[FlashStack-Misc] dx-test-02/dx-test-02.vmx","vm-1536","flashstack-vcenter.puretec.purestorage.com"
"AnsibleSim","poweredOn","localhost.localdomain","10.21.210.20","vmx-19","Red Hat Enterprise Linux 8 (64-bit)","Red Hat Enterprise Linux 8 (64-bit)","linuxGuest","2","2","45182362104","45182362631","42949672960","2048","toolsOk","False","False","False","[FlashStack-Prod] AnsibleSim/AnsibleSim.vmx","vm-1569","flashstack-vcenter.puretec.purestorage.com"
"Test-JmpWin","poweredOn",,,"vmx-19",,"Microsoft Windows Server 2019 (64-bit)",,"2","4","101017337232","101017337708","96636764160","4096","toolsNotInstalled","False","False","False","[FlashStack-Misc] Test-JmpWin/Test-JmpWin.vmx","vm-157","flashstack-vcenter.puretec.purestorage.com"
"fslab-ad","poweredOn","FSLAB-DC01.fslab.local","10.21.210.28","vmx-19","Microsoft Windows Server 2019 (64-bit)","Microsoft Windows Server 2019 (64-bit)","windowsGuest","4","8","107056770109","199805415278","100524883968","6144","toolsOk","False","True","False","[FlashStack_ISO_ContLib] fslab-ad/fslab-ad.vmx","vm-160","flashstack-vcenter.puretec.purestorage.com"
"FS-WinJmp1","poweredOn","FS-WInJmp1.fslab.local","10.21.210.30","vmx-19","Microsoft Windows Server 2019 (64-bit)","Microsoft Windows Server 2019 (64-bit)","windowsGuest","2","4","104624126003","197656935297","100240719872","4096","toolsOk","False","True","False","[FlashStack-Misc] FS-WinJmp1/FS-WinJmp1.vmx","vm-161","flashstack-vcenter.puretec.purestorage.com"
"postgresdb-test","poweredOn","postgresdb-test","10.21.210.46","vmx-19","Red Hat Enterprise Linux 9 (64-bit)","Red Hat Enterprise Linux 9 (64-bit)","linuxGuest","4","4","90089554856","777616723908","21245198336","16384","toolsOk","False","True","False","[FlashStack-Prod] postgresdb-test_1/postgresdb-test.vmx","vm-1680","flashstack-vcenter.puretec.purestorage.com"
"fs-vidm","poweredOn","fs-vidm.fslab.local","10.21.210.51","vmx-14","VMware Photon OS (64-bit)","Other 3.x Linux (64-bit)","linuxGuest","8","8","31175009984","136716285981","13903069184","16384","toolsOk","False","True","False","[FlashStack-Prod] fs-vidm/fs-vidm.vmx","vm-1756","flashstack-vcenter.puretec.purestorage.com"
"fs-vra","poweredOn","fs-vra.fslab.local","10.21.210.52","vmx-10","VMware Photon OS (64-bit)","Other 3.x or later Linux (64-bit)","linuxGuest","12","12","158015526499","405168041334","112822583296","43008","toolsOk","False","True","False","[FlashStack-Prod] fs-vra/fs-vra.vmx","vm-1757","flashstack-vcenter.puretec.purestorage.com"
"intersight-ansible","poweredOn","intersight-ansible","10.21.131.176","vmx-19","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","linuxGuest","2","2","12280738123","68805276541","7899971584","4096","toolsOk","False","False","False","[FlashStack-Misc] intersight-ansible/intersight-ansible.vmx","vm-1812","flashstack-vcenter.puretec.purestorage.com"
"intersight-assist","poweredOn","intersight-assist.puretec.purestorage.com","10.21.210.178","vmx-10","CentOS 7 (64-bit)","CentOS 4/5/6/7 (64-bit)","linuxGuest","8","8","79610509458","554143582799","62337843200","16384","toolsOk","False","False","False","[FlashStack-Misc] intersight-assist/intersight-assist.vmx","vm-1813","flashstack-vcenter.puretec.purestorage.com"
